"SubsetID","id","lat","long","star.date","end.date","Status"
"Lat37.19641Lon-3.26540Start2001-01-01End2001-12-31",142799,37.1964115002029,-3.2653977048134,2000,2001,"Successful download"
"Lat37.19641Lon-3.26017Start2001-01-01End2001-12-31",142801,37.1964115002029,-3.26016693812872,2000,2001,"Successful download"
